subj	mean	unl	median	upl
1	0.9997	0.999	0.9998	1.0
2	0.9417	0.9004	0.944	0.9702
3	0.8897	0.8284	0.8923	0.9358
4	0.8581	0.7873	0.8608	0.9132
5	0.7864	0.6992	0.7888	0.859
6	0.74	0.6448	0.7422	0.8219
7	0.6942	0.5929	0.6961	0.7841
8	0.6783	0.5751	0.6801	0.7709
9	0.6274	0.5195	0.6287	0.7278
10	0.6274	0.5195	0.6287	0.7278
11	0.576	0.4646	0.5768	0.683
12	0.5614	0.449	0.562	0.6699
13	0.559	0.4465	0.5596	0.6677
14	0.5566	0.444	0.5571	0.6656
15	0.5305	0.4169	0.5308	0.6422
16	0.5002	0.02501	0.5001	0.9747
17	0.527	0.4134	0.5272	0.6391
18	0.527	0.4134	0.5272	0.6391
19	0.5212	0.4074	0.5214	0.6339
20	0.5143	0.4003	0.5144	0.6277
21	0.4984	0.3842	0.4982	0.6131
22	0.4423	0.328	0.4414	0.5613
23	0.4131	0.2993	0.4117	0.5334
24	0.4033	0.2899	0.4018	0.5243
25	0.3797	0.2673	0.3779	0.5017
26	0.4709	0.02354	0.4717	0.9189
27	0.3696	0.2578	0.3677	0.4918
28	0.3458	0.2353	0.3435	0.4684
29	0.259	0.1576	0.2557	0.3794
30	0.2583	0.157	0.255	0.3786
31	0.2133	0.1191	0.2093	0.3295
32	0.2133	0.1191	0.2093	0.3295
33	0.1966	0.1058	0.1924	0.3107
34	0.1924	0.1025	0.1881	0.306
35	0.1867	0.09808	0.1824	0.2995
36	0.445	0.02222	0.4443	0.8729
37	0.1199	0.05043	0.1147	0.2189
38	0.1155	0.04761	0.1103	0.2133
39	0.4292	0.02056	0.4293	0.8428
40	0.05121	0.01262	0.04579	0.1203
41	0.04737	0.01105	0.04201	0.1139
42	0.394	0.01966	0.3937	0.779
43	0.3705	0.01895	0.3687	0.7372
44	0.3469	0.01767	0.345	0.6965
45	0.3395	0.01702	0.3374	0.6811
46	0.9843	0.9676	0.9856	0.994
47	0.9505	0.9125	0.9527	0.9758
48	0.9475	0.908	0.9498	0.9741
49	0.9414	0.899	0.9438	0.9704
50	0.9224	0.8716	0.925	0.9585
51	0.9027	0.8443	0.9054	0.9456
52	0.8649	0.7942	0.8677	0.9194
53	0.8632	0.792	0.866	0.9181
54	0.8491	0.774	0.8519	0.9079
55	0.8403	0.7628	0.8431	0.9014
56	0.8153	0.7316	0.8181	0.8828
57	0.7758	0.684	0.7784	0.8524
58	0.7346	0.6358	0.737	0.8195
59	0.7292	0.6298	0.7316	0.8152
60	0.7062	0.6034	0.7084	0.7963
61	0.7026	0.5995	0.7048	0.7934
62	0.6886	0.5834	0.6907	0.7817
63	0.6851	0.5794	0.6872	0.7787
64	0.6816	0.5756	0.6836	0.7757
65	0.6624	0.5544	0.6644	0.7597
66	0.6182	0.5062	0.6197	0.7218
67	0.6165	0.5044	0.618	0.7204
68	0.5851	0.4707	0.5863	0.693
69	0.5026	0.385	0.5028	0.6185
70	0.4908	0.3729	0.4908	0.6077
71	0.3759	0.2605	0.3745	0.4986
72	0.3256	0.2138	0.3235	0.4482
73	0.3056	0.1958	0.3032	0.4277
74	0.2857	0.1783	0.283	0.4069
75	0.2455	0.1441	0.2423	0.3643
76	0.2338	0.1344	0.2304	0.3517
77	0.2141	0.1184	0.2104	0.3304
78	0.2066	0.1123	0.2028	0.322
79	0.2044	0.1106	0.2006	0.3196
80	0.09197	0.03282	0.08676	0.1811
81	0.07295	0.02262	0.06763	0.1538
82	0.2557	0.01232	0.2517	0.5325
83	0.2559	0.01268	0.252	0.5328
84	0.2259	0.01078	0.2215	0.4772
85	0.2182	0.01041	0.2135	0.4634
86	0.2165	0.01074	0.2125	0.4605
87	0.2155	0.01025	0.2109	0.459
88	0.00956	5.59E-4	0.00651	0.03614
89	0.2006	0.00981	0.1959	0.4327
90	0.1998	0.00960	0.195	0.4312
