Intel   NASDAQ  IntelB1 NASDAQB1
23.07   1603.51 NA      NA
22.61   1571.83 23.07   1603.51
22.39   1563.76 22.61   1571.83
22.46   1557.52 22.39   1563.76
22.80   1564.81 22.46   1557.52
22.88   1564.92 22.80   1564.81
22.54   1553.40 22.88   1564.92
23.16   1565.78 22.54   1553.40
22.82   1545.18 23.16   1565.78
23.02   1561.11 22.82   1545.18
22.94   1573.49 23.02   1561.11
22.60   1545.65 22.94   1573.49
22.58   1514.56 22.60   1545.65
22.42   1503.64 22.58   1514.56
21.99   1480.66 22.42   1503.64
22.26   1490.57 21.99   1480.66
22.42   1509.01 22.26   1490.57
22.31   1507.55 22.42   1509.01
22.24   1499.46 22.31   1507.55
22.45   1519.63 22.24   1499.46
22.63   1523.66 22.45   1519.63
22.58   1525.10 22.63   1523.66
22.38   1508.24 22.58   1525.10
23.00   1534.49 22.38   1508.24
22.91   1529.05 23.00   1534.49
23.41   1532.69 22.91   1529.05
23.30   1506.81 23.41   1532.69
23.50   1506.83 23.30   1506.81
24.17   1530.51 23.50   1506.83
24.31   1538.21 24.17   1530.51
24.47   1547.30 24.31   1538.21
24.14   1542.41 24.47   1547.30
23.63   1519.29 24.14   1542.41
24.02   1515.40 23.63   1519.29
23.76   1494.07 24.02   1515.40
23.31   1497.09 23.76   1494.07
23.70   1517.71 23.31   1497.09
24.09   1526.90 23.70   1517.71
23.99   1511.02 24.09   1526.90
24.62   1527.25 23.99   1511.02
24.52   1525.28 24.62   1527.25
24.50   1511.89 24.52   1525.28
24.68   1520.58 24.50   1511.89
25.11   1545.20 24.68   1520.58
24.80   1528.65 25.11   1545.20
24.84   1521.98 24.80   1528.65
24.85   1524.38 24.84   1521.98
24.20   1505.64 24.85   1524.38
24.27   1515.09 24.20   1505.64
23.88   1502.06 24.27   1515.09
23.54   1486.23 23.88   1502.06
23.41   1487.63 23.54   1486.23
23.41   1484.40 23.41   1487.63
23.50   1484.45 23.41   1484.40
23.02   1465.09 23.50   1484.45
23.39   1471.77 23.02   1465.09
23.18   1469.94 23.39   1471.77
23.30   1472.71 23.18   1469.94
23.15   1464.34 23.30   1472.71
23.49   1491.74 23.15   1464.34
23.23   1482.53 23.49   1491.74
23.01   1469.35 23.23   1482.53
22.93   1476.72 23.01   1469.35
23.13   1483.75 22.93   1476.72
23.05   1480.67 23.13   1483.75
23.41   1499.71 23.05   1480.67
23.29   1485.60 23.41   1499.71
23.12   1478.55 23.29   1485.60
23.22   1489.16 23.12   1478.55
22.82   1461.68 23.22   1489.16
22.49   1441.13 22.82   1461.68
22.12   1408.59 22.49   1441.13
22.21   1409.98 22.12   1408.59
22.63   1420.80 22.21   1409.98
22.66   1406.85 22.63   1420.80
23.36   1447.37 22.66   1406.85
23.24   1421.21 23.36   1447.37
23.41   1437.31 23.24   1421.21
23.32   1420.43 23.41   1437.31
23.51   1423.76 23.32   1420.43
23.19   1409.29 23.51   1423.76
23.52   1420.79 23.19   1409.29
23.55   1423.71 23.52   1420.79
23.83   1427.61 23.55   1423.71
24.11   1452.20 23.83   1427.61
24.26   1450.16 24.11   1452.20
24.49   1456.00 24.26   1450.16
24.80   1463.38 24.49   1456.00
24.67   1450.36 24.80   1463.38
24.77   1459.55 24.67   1450.36
24.84   1454.79 24.77   1459.55
25.12   1470.63 24.84   1454.79
25.33   1480.68 25.12   1470.63
25.70   1490.14 25.33   1480.68
25.93   1509.26 25.70   1490.14
26.01   1521.43 25.93   1509.26
26.35   1528.06 26.01   1521.43
26.50   1535.22 26.35   1528.06
26.96   1540.47 26.50   1535.22
27.00   1532.71 26.96   1540.47
27.37   1548.80 27.00   1532.71
27.39   1549.80 27.37   1548.80
26.96   1542.63 27.39   1549.80
27.29   1559.50 26.96   1542.63
27.59   1568.96 27.29   1559.50
27.33   1544.48 27.59   1568.96
27.17   1545.27 27.33   1544.48
26.86   1531.12 27.17   1545.27
27.10   1527.68 26.86   1531.12
27.70   1539.46 27.10   1527.68
26.98   1521.02 27.70   1539.46
27.00   1529.13 26.98   1521.02
26.70   1524.42 27.00   1529.13
26.94   1529.49 26.70   1524.42
27.12   1537.42 26.94   1529.49
27.12   1538.13 27.12   1537.42
26.90   1537.31 27.12   1538.13
27.18   1536.48 26.90   1537.31
27.11   1534.36 27.18   1536.48
26.77   1515.95 27.11   1534.36
26.10   1500.18 26.77   1515.95
25.86   1493.75 26.10   1500.18
26.33   1508.61 25.86   1493.75
26.25   1504.11 26.33   1508.61
26.02   1493.52 26.25   1504.11
26.21   1490.53 26.02   1493.52
26.68   1506.35 26.21   1490.53
26.50   1498.05 26.68   1506.35
26.56   1503.78 26.50   1498.05
27.28   1533.27 26.56   1503.78
27.70   1547.66 27.28   1533.27
27.75   1555.59 27.70   1547.66
27.59   1557.62 27.75   1555.59
27.88   1573.44 27.59   1557.62
28.30   1577.82 27.88   1573.44
28.23   1570.09 28.30   1577.82
28.71   1590.49 28.23   1570.09
27.44   1602.75 28.71   1590.49
27.03   1601.89 27.44   1602.75
26.75   1600.76 27.03   1601.89
26.52   1593.57 26.75   1600.76
26.89   1598.93 26.52   1593.57
27.06   1611.95 26.89   1598.93
27.34   1618.64 27.06   1611.95
27.14   1605.14 27.34   1618.64
27.11   1610.11 27.14   1605.14
27.56   1627.01 27.11   1610.11
27.64   1627.19 27.56   1627.01
27.01   1608.74 27.64   1627.19
26.77   1601.59 27.01   1608.74
26.71   1589.97 26.77   1601.59
26.90   1601.14 26.71   1589.97
26.88   1585.71 26.90   1601.14
26.82   1600.65 26.88   1585.71
26.31   1591.75 26.82   1600.65
26.53   1600.71 26.31   1591.75
26.00   1574.01 26.53   1600.71
26.09   1582.29 26.00   1574.01
25.88   1575.76 26.09   1582.29
25.65   1573.72 25.88   1575.76
26.06   1575.59 25.65   1573.72
25.72   1571.30 26.06   1575.59
25.53   1561.71 25.72   1571.30
25.46   1565.88 25.53   1561.71
25.41   1558.84 25.46   1565.88
25.73   1571.52 25.41   1558.84
25.57   1565.73 25.73   1571.52
25.72   1581.71 25.57   1565.73
25.26   1577.25 25.72   1581.71
25.28   1573.12 25.26   1577.25
25.70   1597.27 25.28   1573.12
25.66   1599.86 25.70   1597.27
26.09   1597.68 25.66   1599.86
25.25   1607.83 26.09   1597.68
