Time,Gender,Age_group,Cases
Jan-11,Female,15-24,212
Feb-11,Female,15-24,641
Mar-11,Female,15-24,664
Apr-11,Female,15-24,701
May-11,Female,15-24,1134
Jun-11,Female,15-24,61
Jul-11,Female,15-24,134
Aug-11,Female,15-24,24
Sep-11,Female,15-24,80
Oct-11,Female,15-24,665
Nov-11,Female,15-24,1074
Dec-11,Female,15-24,1944
Jan-12,Female,15-24,1826
Feb-12,Female,15-24,3850
Mar-12,Female,15-24,4278
Apr-12,Female,15-24,3729
May-12,Female,15-24,5785
Jun-12,Female,15-24,6452
Jul-12,Female,15-24,6398
Aug-12,Female,15-24,10802
Sep-12,Female,15-24,6725
Oct-12,Female,15-24,5963
Nov-12,Female,15-24,6517
Dec-12,Female,15-24,4217
Jan-13,Female,15-24,4228
Feb-13,Female,15-24,4580
Mar-13,Female,15-24,4154
Apr-13,Female,15-24,5002
May-13,Female,15-24,5092
Jun-13,Female,15-24,5685
Jul-13,Female,15-24,7388
Aug-13,Female,15-24,6629
Sep-13,Female,15-24,4961
Oct-13,Female,15-24,6066
Nov-13,Female,15-24,4054
Dec-13,Female,15-24,2409
Jan-14,Female,15-24,4683
Feb-14,Female,15-24,4788
Mar-14,Female,15-24,3541
Apr-14,Female,15-24,3605
May-14,Female,15-24,4618
Jun-14,Female,15-24,3883
Jul-14,Female,15-24,3965
Aug-14,Female,15-24,4131
Sep-14,Female,15-24,3954
Oct-14,Female,15-24,3634
Nov-14,Female,15-24,3692
Dec-14,Female,15-24,2998
Jan-15,Female,15-24,3265
Feb-15,Female,15-24,3770
Mar-15,Female,15-24,4135
Apr-15,Female,15-24,2903
May-15,Female,15-24,3343
Jun-15,Female,15-24,3971
Jul-15,Female,15-24,3468
Aug-15,Female,15-24,4042
Sep-15,Female,15-24,3745
Oct-15,Female,15-24,2585
Nov-15,Female,15-24,2262
Dec-15,Female,15-24,2376
Jan-16,Female,15-24,2888
Feb-16,Female,15-24,2778
Mar-16,Female,15-24,3520
Apr-16,Female,15-24,3081
May-16,Female,15-24,3710
Jun-16,Female,15-24,3397
Jul-16,Female,15-24,2924
Aug-16,Female,15-24,2957
Sep-16,Female,15-24,2652
Oct-16,Female,15-24,2521
Nov-16,Female,15-24,2492
Dec-16,Female,15-24,1591
Jan-17,Female,15-24,2504
Feb-17,Female,15-24,2313
Mar-17,Female,15-24,2708
Apr-17,Female,15-24,2396
May-17,Female,15-24,2500
Jun-17,Female,15-24,1818
Jul-17,Female,15-24,1940
Aug-17,Female,15-24,1700
Sep-17,Female,15-24,2064
Oct-17,Female,15-24,1575
Nov-17,Female,15-24,2259
Dec-17,Female,15-24,1839
Jan-18,Female,15-24,2087
Feb-18,Female,15-24,1978
Mar-18,Female,15-24,1706
Apr-18,Female,15-24,1418
May-18,Female,15-24,1450
Jun-18,Female,15-24,1344
Jul-18,Female,15-24,1002
Aug-18,Female,15-24,997
Sep-18,Female,15-24,723
Jan-11,Male,15-24,198
Feb-11,Male,15-24,759
Mar-11,Male,15-24,713
Apr-11,Male,15-24,791
May-11,Male,15-24,906
Jun-11,Male,15-24,54
Jul-11,Male,15-24,64
Aug-11,Male,15-24,10
Sep-11,Male,15-24,61
Oct-11,Male,15-24,364
Nov-11,Male,15-24,635
Dec-11,Male,15-24,1388
Jan-12,Male,15-24,1007
Feb-12,Male,15-24,2556
Mar-12,Male,15-24,2655
Apr-12,Male,15-24,3003
May-12,Male,15-24,2791
Jun-12,Male,15-24,3565
Jul-12,Male,15-24,3388
Aug-12,Male,15-24,5524
Sep-12,Male,15-24,3866
Oct-12,Male,15-24,3308
Nov-12,Male,15-24,3721
Dec-12,Male,15-24,2972
Jan-13,Male,15-24,2107
Feb-13,Male,15-24,1968
Mar-13,Male,15-24,1967
Apr-13,Male,15-24,2745
May-13,Male,15-24,2643
Jun-13,Male,15-24,2149
Jul-13,Male,15-24,3796
Aug-13,Male,15-24,3765
Sep-13,Male,15-24,2080
Oct-13,Male,15-24,2790
Nov-13,Male,15-24,1664
Dec-13,Male,15-24,1157
Jan-14,Male,15-24,2109
Feb-14,Male,15-24,1987
Mar-14,Male,15-24,1226
Apr-14,Male,15-24,1281
May-14,Male,15-24,2468
Jun-14,Male,15-24,1450
Jul-14,Male,15-24,1409
Aug-14,Male,15-24,1727
Sep-14,Male,15-24,1350
Oct-14,Male,15-24,1387
Nov-14,Male,15-24,1472
Dec-14,Male,15-24,976
Jan-15,Male,15-24,1135
Feb-15,Male,15-24,1165
Mar-15,Male,15-24,1190
Apr-15,Male,15-24,1003
May-15,Male,15-24,1090
Jun-15,Male,15-24,1316
Jul-15,Male,15-24,1068
Aug-15,Male,15-24,1132
Sep-15,Male,15-24,1076
Oct-15,Male,15-24,746
Nov-15,Male,15-24,760
Dec-15,Male,15-24,756
Jan-16,Male,15-24,848
Feb-16,Male,15-24,756
Mar-16,Male,15-24,995
Apr-16,Male,15-24,849
May-16,Male,15-24,910
Jun-16,Male,15-24,888
Jul-16,Male,15-24,837
Aug-16,Male,15-24,800
Sep-16,Male,15-24,750
Oct-16,Male,15-24,634
Nov-16,Male,15-24,695
Dec-16,Male,15-24,380
Jan-17,Male,15-24,654
Feb-17,Male,15-24,679
Mar-17,Male,15-24,679
Apr-17,Male,15-24,642
May-17,Male,15-24,695
Jun-17,Male,15-24,649
Jul-17,Male,15-24,532
Aug-17,Male,15-24,478
Sep-17,Male,15-24,606
Oct-17,Male,15-24,416
Nov-17,Male,15-24,550
Dec-17,Male,15-24,578
Jan-18,Male,15-24,581
Feb-18,Male,15-24,494
Mar-18,Male,15-24,461
Apr-18,Male,15-24,386
May-18,Male,15-24,420
Jun-18,Male,15-24,345
Jul-18,Male,15-24,271
Aug-18,Male,15-24,283
Sep-18,Male,15-24,182
Jan-11,Female,25+,317
Feb-11,Female,25+,935
Mar-11,Female,25+,931
Apr-11,Female,25+,901
May-11,Female,25+,1180
Jun-11,Female,25+,145
Jul-11,Female,25+,158
Aug-11,Female,25+,66
Sep-11,Female,25+,124
Oct-11,Female,25+,1179
Nov-11,Female,25+,2220
Dec-11,Female,25+,3079
Jan-12,Female,25+,4090
Feb-12,Female,25+,5527
Mar-12,Female,25+,6929
Apr-12,Female,25+,7027
May-12,Female,25+,9166
Jun-12,Female,25+,11988
Jul-12,Female,25+,13026
Aug-12,Female,25+,15025
Sep-12,Female,25+,13376
Oct-12,Female,25+,11832
Nov-12,Female,25+,11414
Dec-12,Female,25+,7621
Jan-13,Female,25+,9229
Feb-13,Female,25+,9649
Mar-13,Female,25+,9360
Apr-13,Female,25+,10212
May-13,Female,25+,11979
Jun-13,Female,25+,12207
Jul-13,Female,25+,16168
Aug-13,Female,25+,14977
Sep-13,Female,25+,11248
Oct-13,Female,25+,11567
Nov-13,Female,25+,9661
Dec-13,Female,25+,5403
Jan-14,Female,25+,10569
Feb-14,Female,25+,10550
Mar-14,Female,25+,9282
Apr-14,Female,25+,9386
May-14,Female,25+,10206
Jun-14,Female,25+,9810
Jul-14,Female,25+,11015
Aug-14,Female,25+,10163
Sep-14,Female,25+,9883
Oct-14,Female,25+,9263
Nov-14,Female,25+,8404
Dec-14,Female,25+,7112
Jan-15,Female,25+,9478
Feb-15,Female,25+,9225
Mar-15,Female,25+,10462
Apr-15,Female,25+,8473
May-15,Female,25+,9100
Jun-15,Female,25+,10571
Jul-15,Female,25+,9616
Aug-15,Female,25+,10381
Sep-15,Female,25+,10110
Oct-15,Female,25+,7700
Nov-15,Female,25+,6907
Dec-15,Female,25+,6959
Jan-16,Female,25+,8428
Feb-16,Female,25+,8699
Mar-16,Female,25+,9935
Apr-16,Female,25+,9089
May-16,Female,25+,10835
Jun-16,Female,25+,9706
Jul-16,Female,25+,9032
Aug-16,Female,25+,9270
Sep-16,Female,25+,8292
Oct-16,Female,25+,7902
Nov-16,Female,25+,7542
Dec-16,Female,25+,4638
Jan-17,Female,25+,7423
Feb-17,Female,25+,6858
Mar-17,Female,25+,8502
Apr-17,Female,25+,7007
May-17,Female,25+,8166
Jun-17,Female,25+,6383
Jul-17,Female,25+,6687
Aug-17,Female,25+,5450
Sep-17,Female,25+,6160
Oct-17,Female,25+,5453
Nov-17,Female,25+,7124
Dec-17,Female,25+,5642
Jan-18,Female,25+,7143
Feb-18,Female,25+,6914
Mar-18,Female,25+,6238
Apr-18,Female,25+,5362
May-18,Female,25+,5653
Jun-18,Female,25+,4943
Jul-18,Female,25+,3928
Aug-18,Female,25+,3755
Sep-18,Female,25+,2702
Jan-11,Male,25+,295
Feb-11,Male,25+,1268
Mar-11,Male,25+,1048
Apr-11,Male,25+,1142
May-11,Male,25+,1472
Jun-11,Male,25+,142
Jul-11,Male,25+,132
Aug-11,Male,25+,53
Sep-11,Male,25+,89
Oct-11,Male,25+,967
Nov-11,Male,25+,1585
Dec-11,Male,25+,2973
Jan-12,Male,25+,2939
Feb-12,Male,25+,5020
Mar-12,Male,25+,5588
Apr-12,Male,25+,4769
May-12,Male,25+,6441
Jun-12,Male,25+,8340
Jul-12,Male,25+,9127
Aug-12,Male,25+,10800
Sep-12,Male,25+,9930
Oct-12,Male,25+,9183
Nov-12,Male,25+,8637
Dec-12,Male,25+,6286
Jan-13,Male,25+,6399
Feb-13,Male,25+,6558
Mar-13,Male,25+,6964
Apr-13,Male,25+,7551
May-13,Male,25+,8902
Jun-13,Male,25+,8177
Jul-13,Male,25+,10303
Aug-13,Male,25+,10796
Sep-13,Male,25+,7496
Oct-13,Male,25+,8005
Nov-13,Male,25+,6378
Dec-13,Male,25+,3918
Jan-14,Male,25+,7147
Feb-14,Male,25+,6882
Mar-14,Male,25+,6094
Apr-14,Male,25+,5797
May-14,Male,25+,7628
Jun-14,Male,25+,6508
Jul-14,Male,25+,7098
Aug-14,Male,25+,6659
Sep-14,Male,25+,6434
Oct-14,Male,25+,6470
Nov-14,Male,25+,6096
Dec-14,Male,25+,5039
Jan-15,Male,25+,6623
Feb-15,Male,25+,6154
Mar-15,Male,25+,6809
Apr-15,Male,25+,5623
May-15,Male,25+,5947
Jun-15,Male,25+,7386
Jul-15,Male,25+,6356
Aug-15,Male,25+,6585
Sep-15,Male,25+,6339
Oct-15,Male,25+,5192
Nov-15,Male,25+,4784
Dec-15,Male,25+,4861
Jan-16,Male,25+,5642
Feb-16,Male,25+,5587
Mar-16,Male,25+,6483
Apr-16,Male,25+,5931
May-16,Male,25+,6812
Jun-16,Male,25+,6449
Jul-16,Male,25+,6058
Aug-16,Male,25+,6245
Sep-16,Male,25+,5485
Oct-16,Male,25+,5183
Nov-16,Male,25+,4961
Dec-16,Male,25+,3362
Jan-17,Male,25+,4975
Feb-17,Male,25+,4432
Mar-17,Male,25+,5749
Apr-17,Male,25+,4648
May-17,Male,25+,5580
Jun-17,Male,25+,4384
Jul-17,Male,25+,4677
Aug-17,Male,25+,3935
Sep-17,Male,25+,4201
Oct-17,Male,25+,3807
Nov-17,Male,25+,4583
Dec-17,Male,25+,3903
Jan-18,Male,25+,4952
Feb-18,Male,25+,4509
Mar-18,Male,25+,4195
Apr-18,Male,25+,3641
May-18,Male,25+,3808
Jun-18,Male,25+,3396
Jul-18,Male,25+,2672
Aug-18,Male,25+,2513
Sep-18,Male,25+,1746
