iso,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,604439,601026,603436,612528,628785,652553,683643,720380,760797,803311,846137,887683,926987,963253,995776,1024429,1049687,1072576,1093826,1113500,1131218,1146346,1158437,1167407,1173581,1177588,1180252,1182460,1184943,1188119,1192175,1196996,1202066
ALB,78994,80083,80756,80901,80450,79354,77615,75354,72710,69783,66675,63471,60244,57069,54027,51156,48457,45906,43505,41299,39376,37834,36705,35981,35618,35530,35600,35699,35721,35605,35328,34913,34430
DZA,857424,856267,852947,847276,839044,827443,811523,791260,767286,740676,712599,684325,657639,634521,616767,606654,606106,615161,633157,659270,692171,730071,770452,810844,849403,885026,917461,947097,973829,996707,1014170,1024635,1027617
AGO,506255,524708,543139,561443,579553,597396,614955,632400,649951,667805,686194,705342,725408,746529,768816,792425,817471,843807,871190,899368,928061,956985,985840,1014321,1042154,1068962,1094428,1118641,1141854,1164359,1186624,1209198,1232610
ATG,1142,1145,1149,1155,1166,1182,1205,1234,1268,1306,1346,1386,1423,1455,1481,1500,1509,1510,1505,1495,1482,1470,1460,1454,1452,1455,1461,1469,1476,1482,1484,1484,1481
ARG,692296,698312,705357,712460,719123,724668,728476,730418,730581,729149,726612,723661,721039,719317,718751,719351,720863,722786,724740,726633,728546,730678,733223,736250,739663,743269,746819,750031,752674,754611,755743,756057,755705
ARM,81820,81985,81386,80002,77838,74874,71112,66734,61989,57128,52471,48326,44872,42226,40459,39571,39468,39894,40602,41439,42266,42991,43598,44072,44368,44471,44400,44210,43943,43603,43178,42644,41984
AUS,240651,243216,245828,248542,251232,253636,255450,256493,256702,256126,254818,252891,250696,248655,247147,246758,248065,251219,256146,262636,270203,278180,285841,292610,298193,302518,305762,308376,310710,312847,314781,316424,317647
AUT,87407,87087,87052,87412,88119,88988,89751,90150,90015,89309,88082,86472,84721,83044,81548,80305,79325,78549,77931,77480,77202,77100,77172,77415,77826,78432,79267,80325,81568,82938,84363,85762,87057
AZE,194575,199957,204121,206765,207649,206487,203106,197807,191033,183199,174805,166361,158341,151190,145270,140823,137896,136257,135709,136227,137974,141168,145739,151404,157736,164111,169850,174418,177412,178602,177884,175364,171553
BHS,6026,6020,6020,6043,6090,6154,6219,6265,6277,6247,6168,6038,5867,5671,5465,5270,5112,5004,4952,4956,5006,5085,5168,5237,5284,5307,5311,5309,5311,5318,5331,5350,5371
BHR,13809,14070,14251,14356,14395,14375,14309,14218,14128,14058,14031,14062,14155,14313,14539,14837,15204,15627,16093,16589,17108,17646,18195,18744,19279,19781,20235,20635,20977,21259,21483,21657,21795
BGD,3612487,3625636,3631379,3631159,3626044,3617543,3607247,3596336,3585674,3575754,3566849,3558760,3550255,3539999,3527049,3509768,3486469,3456725,3420853,3379656,3334617,3287685,3241136,3196959,3156409,3120452,3089382,3062161,3037685,3015364,2994574,2974707,2955066
BRB,4381,4339,4294,4251,4211,4173,4135,4095,4053,4009,3963,3919,3879,3842,3810,3782,3754,3726,3694,3658,3616,3565,3507,3443,3376,3309,3246,3190,3144,3108,3083,3067,3058
BLR,163858,162520,159599,155173,149391,142488,134786,126771,118927,111627,105186,99788,95384,91935,89498,88137,87877,88583,90076,92191,94784,97730,100882,104057,107057,109687,111799,113369,114385,114817,114664,113970,112855
BEL,118444,118456,118624,118952,119384,119792,120018,119957,119562,118850,117883,116767,115675,114770,114161,113987,114358,115242,116559,118221,120085,121979,123730,125196,126291,126956,127195,127116,126829,126396,125894,125396,124943
BLZ,6366,6441,6512,6575,6632,6681,6726,6768,6813,6861,6918,6988,7070,7161,7258,7350,7427,7480,7507,7510,7497,7479,7471,7480,7510,7559,7621,7686,7745,7797,7841,7882,7923
BEN,201607,207115,212796,218638,224618,230704,236859,243049,249244,255421,261555,267627,273659,279686,285741,291886,298189,304691,311413,318349,325483,332775,340154,347548,354906,362172,369300,376291,383160,389922,396606,403257,409929
