years,birthmonth,gender,siblings,height,handspan,footlength,breath,armcross,tongue,dice,beans,handed
26,September,M,2,175,22.5,24,51,right,yes,3,1100,0.42
28,August,F,5,177,17,23,17,right,yes,8,1002,0.6
26,January,M,2,175,20,28,15,right,yes,11,1000,1
28,May,M,7,175,20,25,31,left,no,3,1000,0.82
25,,M,5,155,20,26,30,left,yes,13,1040,0.6
30,April,M,5,171,22,23,36,right,yes,2,956,1
27,November,M,2,162,19,25,32,right,yes,3,600,0.91
23,November,F,4,170,22,27,36,left,yes,4,600,0.33
23,October,M,1,162,20,25,35,right,yes,2,1500,0.7
20,January,F,0,155,19,22,30,right,yes,5,1102,0.7
28,November,M,6,154,20,28,20,right,no,9,650,0.33
27,December,F,5,140,21.5,23,40,left,yes,3,500,0.67
26,March,M,8,175,21,27,19,left,yes,6,850,0.8
27,August,M,6,175,22,26,42,right,yes,2,1124,0.82
25,January,M,9,172,23,26,35,left,yes,2,820,0.8
30,March,M,4,182,22,28,30,left,yes,3,1500,0.8
25,May,M,2,167,19.5,26.5,34,left,no,4,600,0.25
29,September,F,3,166,18,25,18,left,yes,4,1500,0.6
23,February,F,1,155.5,19,23.5,47,left,yes,7,1316,0.6
24,April,M,8,167,21,26,20,right,no,14,1200,-0.82
24,June,F,3,,20,23.5,9,right,no,6,2000,1
25,May,M,3,182,24.5,29,42,right,no,5,325,0.4
26,August,F,4,,23,26,18,left,yes,3,1600,-0.6
29,January,F,1,178,21.6,25.2,72,left,no,4,312,0.89
32,July,M,1,178,24,26,95,right,yes,3,329,0.88
27,August,M,1,177,19.5,27.5,32,left,yes,1,980,1
24,April,M,2,160,21,25,18,right,yes,2,600,0.625
26,July,M,1,167,19,26,30,left,no,11,750,-0.26
25,December,M,3,165,21,23,15,right,no,3,380,0.79
30,November,M,2,188,24,30,15,left,yes,4,324,1
23,July,F,2,158,19,22,20,right,no,22,850,0.8
28,December,F,2,167,19,26,20,left,yes,8,2600,0.33
27,April,M,2,180,25.5,8,56,right,no,1,1370,0.28
26,May,F,2,165,18.5,24.5,,right,yes,2,800,1
25,September,F,5,167,21,25,12,right,no,9,620,0.5
26,September,F,3,165,19,26,25,right,yes,1,950,0.9
24,July,F,3,,19,24,25,right,,6,1350,0.77
24,December,F,2,150,19,23,11,left,yes,15,1200,0.8
25,May,M,1,150,18.5,23,41,left,yes,1,880,0.8
24,June,M,7,161,18,25,18,left,yes,1,300,0.67
28,,M,3,170,18,30,13,left,yes,1,800,1
32,February,M,9,165,21,25,10,right,yes,3,1300,1
23,February,F,4,151,19,23,29,right,yes,9,900,0.8
26,March,M,5,168,22,25,22,right,no,1,1200,0.6
23,August,F,1,173,18,26,38,right,yes,5,875,1
23,December,M,11,170,19,27,22,right,yes,2,750,0.8
23,August,M,5,178,20,27,42,right,yes,9,1800,1
25,December,F,6,167,17,22,22,left,yes,5,800,1
24,December,M,3,184,22,23,46,left,yes,2,,0.7
26,February,M,3,165,19,24.5,9,left,yes,1,,0.2
